Data Source,Health Nutrition and Population Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,32.5,,,,,,,33.5,,,,,33.6,33.6,,,,
"Micronesia, Fed. Sts.",FSM,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Age at first marriage, male",SP.DYN.SMAM.MA,25.5,,,,,,26.2,,,,,,,,,,,,27.8,,,,,,
United Kingdom,GBR,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,30.8,,,,28.1,,,,,,,,33.2,33.3,28.7,,,,,,,
Georgia,GEO,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,28,,,,,,,,,,,,,,,,
Ghana,GHA,"Age at first marriage, male",SP.DYN.SMAM.MA,26.2,,,,26.6,,27.1,,,26.6,,,,,27.7,,28.6,27.9,,,28.7,,,,
Gibraltar,GIB,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,29.3,,,,,,,,,,,,,,,,,
Guinea,GIN,"Age at first marriage, male",SP.DYN.SMAM.MA,,,28.4,,,27.7,,,,,,26.3,,,,,,,27.9,,,,,,
"Gambia, The",GMB,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,29,,,30.8,,,,,,,,,,29.7,,,,,
Guinea-Bissau,GNB,"Age at first marriage, male",SP.DYN.SMAM.MA,28,,,,,,28.1,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,28.6,,,,,,,,,,,26.1,,,,,,,
Greece,GRC,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,31.3,,,,,,,,,,32.8,,,,,,,
Grenada,GRD,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,33.7,33.7,33.5,33.1,,,,,,,,,33.7,33.7,33.8,33.9,34,34.1,,,,
Guatemala,GTM,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,GUM,"Age at first marriage, male",SP.DYN.SMAM.MA,19.7,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,27.2,,26.5,,,26.2,,,,25.4,,,,,,,,,
High income,HIC,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,"Age at first marriage, male",SP.DYN.SMAM.MA,,,30.7,,,,,31.6,,,,,32.8,,,,,32.7,,,,,,,
Honduras,HND,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,24.7,,,,,,,,,,,24.1,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,29.8,,,,,,,,,,30.2,,,,,,,
Haiti,HTI,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,27.2,,,29.1,,,27.5,,,,,,28.3,,,,,,
Hungary,HUN,"Age at first marriage, male",SP.DYN.SMAM.MA,,27.5,27.8,28.2,28.5,28.3,29.3,28.7,30.3,30.6,31,31.3,31.7,32,32.4,32.8,33.3,30.5,34,,,,,,
Indonesia,IDN,"Age at first marriage, male",SP.DYN.SMAM.MA,,25.8,,25.8,,,25.9,,,25.9,,27,,26.9,,,25.7,,,,,,,,
Isle of Man,IMN,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,31.2,,,,,,,,,,32.8,,,,,,,
India,IND,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,24.9,,24.8,,,,,25.3,,,,,24.9,,,,,,,
Not classified,INX,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Age at first marriage, male",SP.DYN.SMAM.MA,,,30,,,30.9,,,31.9,,,32.4,32.4,,,,,29.7,,,,,,,
"Iran, Islamic Rep.",IRN,"Age at first marriage, male",SP.DYN.SMAM.MA,,,25.3,,,,,,,,,,26.4,,,,,26.8,,,,,,,
Iraq,IRQ,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,26.9,,,27.9,,,,28.2,,,,,,,,,,,,,,
